date,open,high,low,close,adj_close,volume
2021-07-22,302.49,304.55,302.12,303.82,301.21,120619
2021-07-23,305.55,309.475,304.55,308.53,305.88,119347
2021-07-26,308.915,309.88,305.23,306.85,304.22,139345
2021-07-27,305.5,306.235,295.03,300.47,297.89,286241
2021-07-28,301.085,302.42,296.87,301.835,299.24,282598
2021-07-29,285.185,288.95,281.68,283.08,280.65,711028
2021-07-30,279.54,280.49,274.24,275.55,273.18,461823
2021-08-02,276.885,276.885,270.48,270.86,268.53,328719
2021-08-03,272.375,274.49,269.69,273.28,270.93,348998
2021-08-04,273.72,276.085,270.725,275.56,273.19,272714
2021-08-05,277.82,280.94,275.84,280.9,278.49,236972
2021-08-06,279.96,282.3,276.925,279.55,277.15,149553
2021-08-09,280.255,280.93,277.54,278.16,275.77,153389
2021-08-10,278.94,280.36,272.575,274.37,272.01,196686
2021-08-11,277.22,278.205,273.13,276.26,273.89,227384
2021-08-12,274.54,276.77,273.12,274.585,272.23,145066
2021-08-13,276.355,276.77,274.64,274.91,272.55,118984
2021-08-16,274.42,279.17,274.11,278.24,275.85,143551
2021-08-17,274.685,274.93,269.13,271.17,268.84,146436
2021-08-18,271.23,272.52,268.48,268.54,266.23,172378
2021-08-19,267.34,271.93,267.24,270.615,268.29,198885
2021-08-20,269.8,273.85,269.705,273.09,270.75,113224
2021-08-23,275.85,278.16,273.05,276.95,274.57,114505
2021-08-24,279.1,279.5,276.57,279.5,277.1,92318
2021-08-25,279.57,279.69,276.785,277.81,275.42,86665
2021-08-26,278.3,278.41,273.53,273.63,271.28,109561
2021-08-27,274.35,278.8,273.76,278.23,275.84,121446
2021-08-30,279.63,290.35,279.63,288.46,285.98,299779
2021-08-31,291.1,292.63,284.36,288.7,286.22,167618
2021-09-01,290.11,290.76,286.37,286.69,284.23,132973
2021-09-02,288.26,288.68,285.3,285.395,282.94,132705
2021-09-03,285.77,290.29,285.0,289.01,286.53,175507
2021-09-07,290.38,293.54,288.095,293.3,290.78,226695
2021-09-08,295.76,296.06,283.36,285.15,282.7,373032
2021-09-09,286.74,289.245,285.16,286.78,284.32,129192
2021-09-10,288.6,288.9,284.18,284.37,281.93,81019
2021-09-13,286.88,287.09,277.86,280.6,278.19,136817
2021-09-14,282.39,283.08,280.015,282.37,279.95,109524
2021-09-15,284.19,285.71,279.6,282.32,279.9,107727
2021-09-16,281.24,283.61,280.39,282.92,280.49,104561
2021-09-17,282.18,282.18,275.93,276.31,273.94,189220
2021-09-20,271.175,272.99,265.725,269.97,267.65,269010
2021-09-21,271.6,272.22,267.88,269.46,267.15,124882
2021-09-22,270.73,273.42,266.55,272.38,270.04,214293
2021-09-23,275.68,279.92,273.9,279.23,276.83,202148
2021-09-24,276.785,278.28,274.8,278.14,275.75,99790
2021-09-27,274.88,276.45,272.44,273.43,271.08,215935
2021-09-28,270.0,271.23,261.805,262.29,260.04,255676
2021-09-29,263.76,264.38,256.94,259.05,256.83,275160
2021-09-30,259.875,263.465,258.78,260.15,257.92,221113
2021-10-01,262.31,265.7,260.21,264.35,262.08,140774
2021-10-04,261.92,262.27,251.59,255.08,252.89,252465
2021-10-05,255.22,262.65,253.67,259.94,257.71,170414
2021-10-06,257.02,264.38,257.02,264.2,261.93,143544
2021-10-07,266.0,268.57,263.11,263.39,261.13,136341
2021-10-08,265.11,265.2,259.82,260.07,257.84,159447
2021-10-11,257.695,260.53,254.71,255.04,252.85,174326
2021-10-12,256.26,257.88,253.935,255.885,253.69,151031
2021-10-13,258.6,261.19,254.32,256.34,254.14,269340
2021-10-14,261.425,267.41,260.22,266.45,264.16,195937
2021-10-15,268.555,269.62,265.495,268.44,266.14,109546
2021-10-18,266.19,270.43,264.81,270.395,268.07,146620
2021-10-19,271.13,273.19,270.2,271.69,269.36,177195
2021-10-20,273.16,273.39,253.15,258.28,256.06,1337319
2021-10-21,258.36,258.36,243.01,243.01,240.92,2020838
2021-10-22,243.41,246.545,239.89,240.3,238.24,945635
2021-10-25,254.98,255.5,245.92,246.99,244.87,636936
2021-10-26,249.39,249.85,241.025,242.98,240.89,561273
2021-10-27,243.99,244.68,233.93,234.9,232.88,840115
2021-10-28,236.8,237.8,232.81,236.83,234.8,761317
2021-10-29,235.49,238.34,231.73,232.395,230.4,450055
2021-11-01,232.27,233.495,230.26,231.13,229.15,1058345
2021-11-02,232.425,232.45,227.825,229.52,227.55,676275
2021-11-03,228.7,230.86,225.35,230.39,228.41,458309
2021-11-04,231.55,231.73,225.055,228.24,226.28,296984
2021-11-05,229.93,230.0,224.6,225.77,223.83,338862
2021-11-08,227.8,230.93,226.35,229.36,227.39,551608
2021-11-09,212.4,212.4,200.8,205.4,203.64,2333938
2021-11-10,203.87,208.06,202.79,204.57,202.81,683186
2021-11-11,207.83,208.29,201.58,202.03,200.3,674223
2021-11-12,203.34,210.0,201.555,208.11,206.32,466980
2021-11-15,212.23,214.17,210.76,212.58,210.75,412624
2021-11-16,214.95,215.97,211.79,215.68,213.83,378926
2021-11-17,211.35,213.9,203.36,206.26,204.49,526151
2021-11-18,206.825,207.48,199.22,200.45,198.73,516201
2021-11-19,202.43,202.45,193.09,193.62,191.96,762862
2021-11-22,193.56,193.57,184.345,189.47,187.84,1141270
2021-11-23,189.155,190.75,185.23,188.06,186.45,737025
2021-11-24,187.04,189.56,184.75,188.69,187.07,366594
2021-11-26,188.41,192.94,186.91,187.78,186.17,406065
2021-11-29,189.37,189.8,182.51,187.14,185.53,334804
2021-11-30,186.59,188.79,180.57,184.99,183.4,673151
2021-12-01,187.775,190.12,179.15,179.24,177.7,788932
2021-12-02,180.105,188.76,179.77,187.23,185.62,664219
2021-12-03,187.54,187.54,179.29,183.96,182.38,658318
2021-12-06,183.33,186.05,179.225,184.76,183.17,299892
2021-12-07,188.97,192.78,188.59,191.1,189.46,593060
2021-12-08,191.62,197.68,190.1,197.4,195.71,435787
2021-12-09,195.98,196.38,191.525,191.75,190.1,316502
2021-12-10,192.755,194.01,186.83,188.62,187.0,286960
2021-12-13,187.33,190.05,185.41,186.37,184.77,449465
2021-12-14,183.65,189.135,182.86,186.8,185.2,319998
2021-12-15,185.16,191.02,183.71,190.78,189.14,229598
2021-12-16,194.505,195.12,188.26,188.74,187.12,312298
2021-12-17,187.0,187.8,182.0,186.095,184.5,354208
2021-12-20,182.53,184.35,181.8,182.6,181.03,243989
2021-12-21,183.18,189.29,183.18,189.25,187.63,310249
2021-12-22,189.1,191.77,188.1,191.7,190.05,236697
2021-12-23,192.39,192.95,190.32,192.11,190.46,259809
2021-12-27,192.37,193.83,191.13,192.02,190.37,197706
2021-12-28,192.19,193.99,189.11,190.16,188.53,188835
2021-12-29,190.12,191.26,187.87,189.96,188.33,278796
2021-12-30,189.5,193.82,188.95,191.87,190.22,323810
2021-12-31,191.45,192.075,188.41,188.64,187.02,152483
2022-01-03,191.43,195.98,189.97,194.89,193.22,422265
2022-01-04,196.0,196.0,188.23,191.02,189.38,435139
2022-01-05,190.0,194.2,187.17,187.26,185.65,274190
2022-01-06,185.405,195.0,185.405,192.26,190.61,398834
2022-01-07,190.01,193.06,186.31,187.65,186.04,362705
2022-01-10,185.75,185.75,177.46,182.94,181.37,382684
2022-01-11,182.99,192.8,182.655,191.51,189.87,338671
2022-01-12,189.715,191.36,185.3,187.09,185.48,394963
2022-01-13,187.68,190.63,180.36,181.01,179.46,494935
2022-01-14,179.095,181.93,175.42,178.395,176.86,520665
2022-01-18,176.86,179.6,174.03,174.49,172.99,409389
2022-01-19,174.37,177.26,172.63,173.52,172.03,377702
2022-01-20,175.01,179.84,173.04,173.23,171.74,879913
2022-01-21,171.855,172.92,163.33,163.55,162.15,742295
2022-01-24,156.0,162.42,152.1,162.14,160.75,1032237
2022-01-25,159.8,160.84,155.27,158.22,156.86,451267
2022-01-26,162.37,165.24,155.51,156.73,155.38,599756
2022-01-27,158.93,162.47,156.585,158.06,156.7,511048
2022-01-28,158.32,163.64,157.17,163.54,162.14,386095
2022-01-31,164.44,172.14,163.27,172.01,170.53,663998
2022-02-01,173.27,176.15,170.53,175.8,174.29,792807
2022-02-02,139.86,139.9,129.01,132.58,131.44,5767897
2022-02-03,129.92,131.45,123.86,124.325,123.26,1447970
2022-02-04,124.43,126.68,121.55,126.04,124.96,1146640
2022-02-07,126.71,129.4,120.53,121.35,120.31,1156349
2022-02-08,121.0,123.32,118.565,120.22,119.19,914606
2022-02-09,122.2,123.97,119.83,122.88,121.82,775559
2022-02-10,121.43,125.23,118.5,119.05,118.03,783044
2022-02-11,119.65,120.87,114.74,115.31,114.32,575771
2022-02-14,113.62,116.63,113.09,114.08,113.1,672856
2022-02-15,115.37,116.3,114.01,115.47,114.48,555025
2022-02-16,114.79,114.79,110.395,110.55,109.6,783081
2022-02-17,110.0,111.37,105.0,105.2,104.3,1116664
2022-02-18,106.0,106.72,103.04,103.63,102.74,1170272
2022-02-22,102.05,105.08,101.78,103.19,102.3,1123940
2022-02-23,105.0,105.52,100.6,100.68,99.82,700398
2022-02-24,94.88,105.18,94.56,105.0,104.1,1196849
2022-02-25,106.17,111.07,104.57,111.05,110.1,1284744
2022-02-28,110.43,113.53,108.96,111.91,110.95,561259
2022-03-01,112.73,112.73,105.58,106.58,105.66,568103
2022-03-02,105.62,107.21,103.73,106.61,105.69,427753
2022-03-03,107.68,107.74,100.915,101.33,100.46,769665
2022-03-04,100.31,102.36,98.64,99.92,99.06,646765
2022-03-07,99.57,100.29,93.5,93.57,92.77,587810
2022-03-08,92.95,98.58,92.32,94.85,94.04,947512
2022-03-09,98.25,100.67,97.345,100.22,99.36,929804
2022-03-10,98.805,99.23,96.41,98.52,97.67,446102
2022-03-11,99.82,99.82,95.55,96.54,95.71,493648
2022-03-14,96.01,100.61,94.63,96.87,96.04,963670
2022-03-15,98.66,100.55,97.24,100.45,99.59,600411
2022-03-16,102.43,107.93,102.05,107.92,106.99,1007230
2022-03-17,106.59,112.165,106.52,112.14,111.18,533301
2022-03-18,111.53,119.38,110.27,118.85,117.83,794665
2022-03-21,117.17,117.5,112.52,114.66,113.68,605517
2022-03-22,114.695,119.34,114.68,117.86,116.85,388118
2022-03-23,115.5,117.27,114.09,114.65,113.67,270222
2022-03-24,115.61,116.165,113.35,116.08,115.08,371480
2022-03-25,116.02,116.05,112.14,113.86,112.88,326957
2022-03-28,114.5,117.01,112.38,116.15,115.15,293076
2022-03-29,118.66,121.53,117.0,121.19,120.15,428030
2022-03-30,122.24,122.76,118.04,118.5,117.48,407427
2022-03-31,118.03,118.88,115.61,115.65,114.66,589365
2022-04-01,115.98,118.19,115.05,116.67,115.67,372939
2022-04-04,117.51,122.28,116.91,121.9,120.85,456644
2022-04-05,122.76,122.85,117.25,117.64,116.63,365090
2022-04-06,115.08,115.48,110.86,112.49,111.52,718455
2022-04-07,111.66,114.32,110.1,113.06,112.09,393572
2022-04-08,111.89,113.215,110.29,111.14,110.19,276348
2022-04-11,109.7,111.35,108.52,109.81,108.87,279815
2022-04-12,111.73,112.65,107.8,108.26,107.33,470370
2022-04-13,102.68,105.91,102.3,105.19,104.29,1077415
2022-04-14,105.05,105.67,102.1,102.32,101.44,453139
2022-04-18,102.08,102.915,99.15,100.57,99.71,433460
2022-04-19,100.19,104.84,99.95,103.7,102.81,383873
2022-04-20,101.93,101.93,94.445,94.91,94.1,1482483
2022-04-21,96.1,97.51,88.82,89.45,88.68,776613
2022-04-22,89.29,90.2,85.98,86.07,85.33,620496
2022-04-25,85.22,87.915,84.56,87.78,87.03,501207
2022-04-26,86.75,86.75,83.6,83.65,82.93,475608
2022-04-27,83.57,86.585,82.17,82.595,81.89,857301
2022-04-28,85.025,93.135,84.49,92.05,91.26,1753863
2022-04-29,90.9,94.49,87.75,87.88,87.13,1091158
2022-05-02,87.675,92.49,86.82,91.55,90.76,641173
2022-05-03,91.48,92.24,90.09,90.69,89.91,476242
2022-05-04,90.34,92.82,87.16,92.71,91.91,449335
2022-05-05,90.54,90.61,84.2,85.43,84.7,834520
2022-05-06,85.3,85.3,80.91,81.7,81.0,649120
2022-05-09,79.89,82.12,78.86,79.46,78.78,1331862
2022-05-10,81.645,82.25,76.16,78.73,78.05,1001840
2022-05-11,77.88,80.38,75.02,75.17,74.52,778820
2022-05-12,73.75,76.55,71.84,74.29,73.65,872827
2022-05-13,76.47,79.15,76.44,78.82,78.14,436994
2022-05-16,78.39,79.06,76.3,77.62,76.95,518345
2022-05-17,79.89,81.26,77.37,79.76,79.08,400658
2022-05-18,78.52,79.91,76.78,77.19,76.53,541156
2022-05-19,76.9,82.305,76.875,81.26,80.56,698097
2022-05-20,83.57,83.59,77.58,80.55,79.86,467978
2022-05-23,80.52,82.06,79.28,81.18,80.48,211450
2022-05-24,79.68,79.85,77.2,78.67,77.99,679921
2022-05-25,77.96,80.78,77.3,80.14,79.45,452175
2022-05-26,80.22,81.3,79.8,80.43,79.74,693174
